species,lat,lon
species,-34.991442,150.749456
species,-34.899511,173.280179
species,-34.738732,173.116793
species,-36.89186,174.988787
species,-43.520035,172.736787
species,-46.764579,167.643624
species,-45.735884,170.615093
species,-45.740246,170.621366
species,-46.780991,167.999099
species,-43.825948,172.710471
species,-34.762267,173.131951
species,-37.736279,176.384946
species,-34.73869,173.116722
species,-46.89715,168.128673
species,-45.643108,170.660518
species,-46.058936,170.199797
species,-43.526406,172.739547
species,-45.6184,170.667572
species,-35.278044,174.0848
species,-42.977547,147.490922
species,-46.57644,169.455818
species,-37.981285,177.112896
species,-37.661978,176.22088
species,-46.54085,169.613352
species,-34.74277,173.117622
species,-35,138.5
species,-43.828493,172.672215
species,-46.476363,169.737536
species,-45.896694,170.61498
species,-41.30917,174.884182
species,-34.6,150.9
species,-45.326545,170.824971
species,-46.111775,170.187989
species,-43.700231,-176.613181
species,-42.973511,147.40155
species,-42.986258,147.479203
species,-45.749202,170.645
species,-45.413442,170.825547
species,-45.960024,170.300005
species,-38.2667,144.6667
species,-37.8,148.5167
species,-38.7167,143.1667
species,-37.9167,144.9667
species,-38.2667,144.6667
species,-37.85,144.9667
species,-42.9167,147.25
species,-37.9167,144.9667
species,-43.15,147.85
species,-41.048619,145.901033
species,-41.148822,146.161174
species,-41.05,145.9
species,-40.3,148.15
species,-40.233333,148.25
species,36.264611,136.197278
species,36.264611,136.197278
species,36.264611,136.197278
species,36.264611,136.197278
species,36.264611,136.197278
species,49.056254,-125.720607
species,49.056254,-125.720607
species,53.577388,-131.926208
species,53.594558,-131.932603
species,49.061794,-122.878731
species,51.77765,-127.872367
species,45.217947,-123.974209
species,51.773761,-127.873633
species,52.000392,-128.424117
species,51.993522,-128.431747
species,51.993492,-128.431717
species,45.455991,-123.967585
species,44.967371,-124.017747
species,51.912858,-128.472047
species,44.640871,-124.062781
species,51.990711,-128.429397
species,51.987842,-128.429444
species,44.640871,-124.062781
species,44.952081,-124.021988
species,51.991192,-128.4292
species,48.796719,-125.125617
species,51.993125,-128.430953
species,45.046167,-124.0036
species,44.607702,-124.068281
species,52.000275,-128.424514
species,44.964838,-124.019
species,51.989625,-128.4292
species,48.437972,-123.293183
species,48.40398,-123.349913
species,51.653256,-128.1389
species,48.405563,-123.349953
species,48.121984,-122.493136
species,48.194156,-122.712177
species,57.137438,-135.564685
species,48.407223,-123.356835
species,49.440223,-123.695477
species,43.873098,-124.155241
species,59.6567,-151.5157
species,59.6567,-151.5157
species,39.44527518,-123.8028872
species,45.703139,-123.940706
species,49.075851,-125.847151
species,49.874422,-125.115577
species,36.62228,-121.9355
species,33.362222,-118.484444
species,43.081666,-124.433718
species,53.575837,-131.92537
species,48.75639,-122.499725
species,48.097507,-122.959518
species,47.613525,-124.37673
species,36.60643,-121.86748
species,38.32299,-123.02432
species,35.10661,-120.61245
species,33.27,-119.57
species,37.18221,-122.39369
species,36.63609,-121.83701
species,33.27,-119.57
species,34.041,-120.428
species,35.34102,-120.86058
species,37.7645,-122.5082
species,40.81966,-124.18392
species,47.121713,-124.181667
species,45.701378,-123.940314
species,47.87686,-124.585408
species,40.87389,-124.155
species,37.166111,-122.360278
species,33.71218,-118.062944
species,57.015821,-135.66672
species,44.522512,-124.073692
species,53.118927,-131.705901
species,47.653472,-122.585708
species,53.918148,-132.107647
species,50.674519,-128.278549
species,54.17541,-131.653562
species,49.850967,-125.094542
species,54.065336,-131.845625
species,46.895385,-124.043148
species,48.099308,-122.689912
species,54.032696,-132.13615
species,57.158853,-135.748611
species,46.434072,-124.060225
species,44.424362,-124.069776
species,49.219445,-123.214828
species,48.7216,-123.383728
species,44.46461,-124.08103
species,53.59907,-131.932308
species,57.124347,-135.753977
species,48.792793,-125.116436
species,49.525638,-124.639388
species,57.156534,-135.74107
species,50.480025,-128.097747
species,48.43787,-123.293533
species,50.772979,-128.410898
species,51.908938,-128.476946
species,49.216778,-123.214607
species,52.000478,-128.423644
species,52.000515,-128.425569
species,48.792778,-125.116669
species,48.792645,-125.11618
species,49.865442,-125.115051
species,49.489585,-123.982305
species,53.115233,-131.696608
species,53.114647,-131.696289
species,53.11515,-131.696564
species,49.014064,-123.043689
species,54.176483,-131.652894
species,53.57985,-131.929869
species,54.063579,-131.849998
species,54.160413,-131.658854
species,48.786154,-122.707331
species,51.773055,-127.874942
species,51.773215,-127.875199
