Year	Mean_OccupSuit	Std_error
836	0.000175995	8.53386e-05
837	0.000177692	8.30999e-05
838	0.000180522	8.53227e-05
839	0.000178824	8.26263e-05
840	0.00017939	8.28036e-05
841	0.000181088	8.23569e-05
842	0.000191274	8.7819e-05
843	0.000188444	8.51039e-05
844	0.000182219	8.22727e-05
845	0.000183917	8.45216e-05
846	0.000186181	8.59708e-05
847	0.000196367	9.16851e-05
848	0.000198065	9.28666e-05
849	0.000187878	8.59617e-05
850	0.000203158	9.34278e-05
851	0.000196367	9.21356e-05
852	0.000184483	8.79657e-05
853	0.000185615	8.96754e-05
854	0.000178258	8.91628e-05
855	0.000174297	8.83072e-05
856	0.000180522	9.1922e-05
857	0.000180522	8.99297e-05
858	0.000186747	9.27376e-05
859	0.000178258	8.67204e-05
860	0.000180522	8.6055e-05
861	0.000168072	8.24842e-05
862	0.000172599	8.23701e-05
863	0.000167506	8.10061e-05
864	0.000165808	7.93737e-05
865	0.000160149	7.53118e-05
866	0.000159583	7.7385e-05
867	0.000156754	7.41465e-05
868	0.000153925	7.52131e-05
869	0.000166374	7.8672e-05
870	0.000166374	8.00254e-05
871	0.000173165	8.40743e-05
872	0.000177126	8.6602e-05
873	0.00017939	8.93899e-05
874	0.000172599	8.52494e-05
875	0.000170901	8.45124e-05
876	0.00016694	8.29844e-05
877	0.000158452	7.71238e-05
878	0.000161847	7.95031e-05
879	0.000166374	8.11294e-05
880	0.000168638	8.46424e-05
881	0.00016977	8.58906e-05
882	0.000173731	9.34075e-05
883	0.000174863	9.06049e-05
884	0.000174297	8.8895e-05
885	0.000173731	9.01939e-05
886	0.000187313	9.36063e-05
887	0.000182219	9.20306e-05
888	0.000177126	9.01559e-05
889	0.00017656	8.98491e-05
890	0.000173165	8.8717e-05
891	0.000178258	9.28418e-05
892	0.000170901	8.89979e-05
893	0.000182785	9.48734e-05
894	0.000179956	9.25906e-05
895	0.000177692	9.06046e-05
896	0.000187878	9.50812e-05
897	0.000192406	9.80826e-05
898	0.00019184	9.99153e-05
899	0.000192406	9.75733e-05
900	0.000177126	9.04246e-05
901	0.000182219	9.48861e-05
902	0.000181654	9.53985e-05
903	0.000195801	0.000101002
904	0.000186181	9.56795e-05
905	0.000182219	9.24164e-05
906	0.000174863	8.81144e-05
907	0.000166374	8.5792e-05
908	0.000168638	8.65994e-05
909	0.000174297	8.89241e-05
910	0.000173731	8.84484e-05
911	0.000174863	8.82061e-05
912	0.000168072	8.47397e-05
913	0.00017939	8.96212e-05
914	0.000180522	9.17459e-05
915	0.000174863	8.64166e-05
916	0.000174297	8.56556e-05
917	0.000183917	8.96115e-05
918	0.000166374	8.15192e-05
919	0.000172033	8.37432e-05
920	0.00016977	8.18565e-05
921	0.000168638	7.90786e-05
922	0.000170901	8.36003e-05
923	0.000172033	8.13249e-05
924	0.000170901	7.88697e-05
925	0.000170901	7.78833e-05
926	0.00016977	7.6399e-05
927	0.00016977	7.526e-05
928	0.000163545	7.36609e-05
929	0.000168072	7.44496e-05
930	0.000161847	7.04103e-05
931	0.000151661	6.54625e-05
932	0.000162979	7.17134e-05
933	0.00016694	7.20693e-05
934	0.000175995	7.49365e-05
935	0.000168072	7.06096e-05
936	0.000167506	7.11593e-05
